               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.034932,            0.066417,             0.01104,             0.93055,             0.92847,             0.96441,             0.68434,            0.037086,             0.10686,            0.011572,           0.0094208,           0.0094208,           0.0094208
                 119,             0.03396,            0.067251,            0.011032,             0.92211,             0.92401,             0.96627,             0.70818,            0.035751,             0.10354,            0.011555,           0.0094159,           0.0094159,           0.0094159
                 120,            0.034691,            0.066589,            0.010891,             0.91642,             0.93269,             0.97048,             0.73096,            0.034807,              0.1017,            0.011207,           0.0094109,           0.0094109,           0.0094109
                 121,             0.03319,            0.067734,             0.01063,              0.9318,             0.94166,             0.97355,             0.72228,            0.035913,             0.10167,            0.011077,            0.009406,            0.009406,            0.009406
                 122,            0.035642,            0.068772,            0.010715,             0.93215,             0.92773,              0.9684,             0.72546,            0.034919,             0.10028,            0.011202,            0.009401,            0.009401,            0.009401
                 123,            0.034221,            0.066592,            0.010724,             0.92226,             0.94309,             0.97236,             0.72938,            0.035266,             0.10006,            0.011138,           0.0093961,           0.0093961,           0.0093961
                 124,            0.035533,            0.067856,            0.010688,             0.92311,              0.9288,             0.97029,             0.69251,            0.036497,             0.10153,             0.01121,           0.0093912,           0.0093912,           0.0093912
                 125,             0.03465,            0.066583,            0.010735,             0.90728,             0.93245,             0.96001,             0.68005,            0.037713,             0.10548,            0.011408,           0.0093862,           0.0093862,           0.0093862
                 126,            0.033546,            0.067515,            0.010339,             0.93544,             0.94133,             0.96771,             0.71583,            0.035841,             0.10501,            0.010918,           0.0093813,           0.0093813,           0.0093813
                 127,            0.033407,            0.067255,            0.010132,             0.90443,             0.93998,             0.96267,             0.70777,            0.036006,             0.10262,            0.011068,           0.0093763,           0.0093763,           0.0093763
                 128,            0.034862,            0.065837,            0.010422,             0.91408,             0.94331,             0.96725,             0.71905,            0.035945,            0.099293,            0.010859,           0.0093714,           0.0093714,           0.0093714
