               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.037779,            0.088094,                   0,             0.99099,             0.97864,             0.99192,             0.73059,            0.035413,            0.089067,                   0,          0.00071686,          0.00071686,          0.00071686
                 145,            0.037151,            0.090629,                   0,             0.99404,             0.98911,              0.9947,              0.7638,            0.034046,            0.085349,                   0,          0.00071488,          0.00071488,          0.00071488
                 146,            0.036191,            0.087438,                   0,             0.99403,             0.98703,             0.99488,             0.75291,            0.034293,            0.087477,                   0,           0.0007129,           0.0007129,           0.0007129
                 147,            0.036806,            0.086654,                   0,             0.99502,             0.98727,             0.99484,             0.75855,             0.03393,            0.091332,                   0,          0.00071092,          0.00071092,          0.00071092
                 148,             0.03798,            0.090353,                   0,             0.99447,             0.98419,             0.99317,             0.75882,             0.03476,             0.09147,                   0,          0.00070894,          0.00070894,          0.00070894
                 149,            0.036369,            0.089993,                   0,             0.99472,             0.98419,             0.99409,              0.7498,            0.034823,            0.090373,                   0,          0.00070696,          0.00070696,          0.00070696
                 150,            0.036252,              0.0898,                   0,             0.99599,             0.98284,             0.99425,             0.75821,             0.03388,            0.088629,                   0,          0.00070498,          0.00070498,          0.00070498
                 151,            0.036126,            0.089635,                   0,             0.99699,             0.98272,             0.99387,             0.75203,            0.034613,            0.089317,                   0,            0.000703,            0.000703,            0.000703
                 152,            0.035955,            0.095666,                   0,             0.98683,              0.9753,             0.99341,             0.75571,            0.035288,            0.090423,                   0,          0.00070102,          0.00070102,          0.00070102
                 153,            0.037868,            0.098644,                   0,             0.99109,             0.95949,             0.98848,             0.73943,            0.035468,            0.093368,                   0,          0.00069904,          0.00069904,          0.00069904
                 154,            0.039067,            0.092914,                   0,             0.99271,             0.99012,             0.99468,             0.73247,            0.035298,            0.092384,                   0,          0.00069706,          0.00069706,          0.00069706
                 155,            0.036876,            0.093688,                   0,             0.99001,             0.97946,             0.99243,             0.76177,             0.03385,            0.087005,                   0,          0.00069508,          0.00069508,          0.00069508
                 156,            0.036671,            0.088927,                   0,             0.99105,             0.98442,             0.99437,             0.76085,            0.034185,            0.086688,                   0,           0.0006931,           0.0006931,           0.0006931
                 157,            0.036411,            0.088837,                   0,             0.99389,             0.98518,             0.99472,             0.74486,            0.034622,             0.08799,                   0,          0.00069112,          0.00069112,          0.00069112
                 158,            0.037354,            0.091031,                   0,             0.98893,              0.9712,             0.98942,             0.75335,            0.033898,            0.090711,                   0,          0.00068914,          0.00068914,          0.00068914
                 159,            0.035692,            0.089827,                   0,             0.99599,             0.98165,             0.99289,             0.75164,            0.034134,             0.09036,                   0,          0.00068716,          0.00068716,          0.00068716
                 160,            0.037081,            0.087548,                   0,               0.996,             0.98451,             0.99344,             0.74607,            0.035169,             0.09361,                   0,          0.00068518,          0.00068518,          0.00068518
                 161,            0.036747,            0.094018,                   0,             0.99111,             0.98814,             0.99433,             0.71663,             0.03644,            0.098408,                   0,           0.0006832,           0.0006832,           0.0006832
                 162,             0.03965,            0.098774,                   0,               0.996,             0.98302,             0.99279,              0.7599,            0.035881,            0.089847,                   0,          0.00068122,          0.00068122,          0.00068122
                 163,            0.037906,            0.095033,                   0,             0.99102,             0.98193,             0.99256,             0.74655,            0.035138,            0.091741,                   0,          0.00067924,          0.00067924,          0.00067924
                 164,            0.038328,            0.089074,                   0,             0.99418,             0.99111,             0.99485,             0.76078,             0.03526,            0.088762,                   0,          0.00067726,          0.00067726,          0.00067726
